,Month,Average,year 
0,January,25,2018
1,February,28,2018
2,March,32,2018
3,April,34,2018
4,May ,35,2018
5,June,31,2018
6,July,28,2018
7,August,27,2018
8,September,29,2018
9,October,29,2018
10,November,28,2018
11,December,24,2018
12,January,25,2019
13,February,29,2019
14,March,33,2019
15,April,34,2019
16,May ,37,2019
17,June,33,2019
18,July,29,2019
19,August,28,2019
20,September,27,2019
21,October,27,2019
22,November,27,2019
23,December,25,2019
24,January,26,2020
25,February,27,2020
26,March,30,2020
27,April,35,2020
28,May ,36,2020
29,June,29,2020
30,July,26,2020
31,August,26,2020
32,September,27,2020
33,October,26,2020
34,November,25,2020
35,December,23,2020
