,Month,Avg.Temp,year 
0,January,-5,2018
1,February,-2,2018
2,March,0,2018
3,April,3,2018
4,May ,17,2018
5,June,20,2018
6,July,24,2018
7,August,23,2018
8,September,19,2018
9,October,9,2018
10,November,2,2018
11,December,0,2018
12,January,-6,2019
13,February,-4,2019
14,March,-1,2019
15,April,6,2019
16,May ,12,2019
17,June,18,2019
18,July,24,2019
19,August,21,2019
20,September,18,2019
21,October,11,2019
22,November,1,2019
23,December,-1,2019
24,January,-1,2020
25,February,-3,2020
26,March,3,2020
27,April,6,2020
28,May ,12,2020
29,June,21,2020
30,July,25,2020
31,August,22,2020
32,September,17,2020
33,October,10,2020
34,November,7,2020
35,December,0,2020
