,University,Country,uni-country,codes
0,University of Oxford,United Kingdom,"University of Oxford, GBR", GBR
1,California Institute of Technology,United States,"California Institute of Technology, USA", USA
2,University of Cambridge,United Kingdom,"University of Cambridge, GBR", GBR
3,Stanford University,United States,"Stanford University, USA", USA
4,Massachusetts Institute of Technology,United States,"Massachusetts Institute of Technology, USA", USA
5,Princeton University,United States,"Princeton University, USA", USA
6,Harvard University,United States,"Harvard University, USA", USA
7,Yale University,United States,"Yale University, USA", USA
8,University of Chicago,United States,"University of Chicago, USA", USA
9,Imperial College London,United Kingdom,"Imperial College London, GBR", GBR
10,University of Pennsylvania,United States,"University of Pennsylvania, USA", USA
11,Johns Hopkins University,United States,"Johns Hopkins University, USA", USA
12,"University of California, Berkeley",United States,"University of California, Berkeley, USA", Berkeley
13,ETH Zurich,Switzerland,"ETH Zurich, CHE", CHE
14,UCL,United Kingdom,"UCL, GBR", GBR
15,Columbia University,United States,"Columbia University, USA", USA
16,"University of California, Los Angeles",United States,"University of California, Los Angeles, USA", Los Angeles
17,University of Toronto,Canada,"University of Toronto, CAN", CAN
18,Cornell University,United States,"Cornell University, USA", USA
19,Duke University,United States,"Duke University, USA", USA
20,University of Michigan-Ann Arbor,United States,"University of Michigan-Ann Arbor, USA", USA
21,Northwestern University,United States,"Northwestern University, USA", USA
22,Tsinghua University,China,"Tsinghua University, CHN", CHN
23,Peking University,China,"Peking University, CHN", CHN
24,National University of Singapore,Singapore,"National University of Singapore, SGP", SGP
25,University of Washington,United States,"University of Washington, USA", USA
26,Carnegie Mellon University,United States,"Carnegie Mellon University, USA", USA
27,London School of Economics and Political Science,United Kingdom,"London School of Economics and Political Science, GBR", GBR
28,New York University,United States,"New York University, USA", USA
29,University of Edinburgh,United Kingdom,"University of Edinburgh, GBR", GBR
30,"University of California, San Diego",United States,"University of California, San Diego, USA", San Diego
31,LMU Munich,Germany,"LMU Munich, DEU", DEU
32,University of Melbourne,Australia,"University of Melbourne, AUS", AUS
33,University of British Columbia,Canada,"University of British Columbia, CAN", CAN
34,University of Hong Kong,Hong Kong,"University of Hong Kong, HKG", HKG
35,KingïṡẄs College London,United Kingdom,"KingïṡẄs College London, GBR", GBR
36,The University of Tokyo,Japan,"The University of Tokyo, JPN", JPN
37,ïṡẄcole Polytechnique FïṡẄdïṡẄrale de Lausanne,Switzerland,"ïṡẄcole Polytechnique FïṡẄdïṡẄrale de Lausanne, CHE", CHE
38,Georgia Institute of Technology,United States,"Georgia Institute of Technology, USA", USA
39,University of Texas at Austin,United States,"University of Texas at Austin, USA", USA
40,Karolinska Institute,Sweden,"Karolinska Institute, SWE", SWE
41,McGill University,Canada,"McGill University, CAN", CAN
42,Technical University of Munich,Germany,"Technical University of Munich, DEU", DEU
43,Heidelberg University,Germany,"Heidelberg University, DEU", DEU
44,KU Leuven,Belgium,"KU Leuven, BEL", BEL
45,Paris Sciences et Lettres ïṡẄ PSL Research University Paris,France,"Paris Sciences et Lettres ïṡẄ PSL Research University Paris, FRA", FRA
46,The Hong Kong University of Science and Technology,Hong Kong,"The Hong Kong University of Science and Technology, HKG", HKG
47,University of Illinois at Urbana-Champaign,United States,"University of Illinois at Urbana-Champaign, USA", USA
48,"Nanyang Technological University, Singapore",Singapore,"Nanyang Technological University, Singapore, SGP", Singapore
49,Australian National University,Australia,"Australian National University, AUS", AUS
50,University of Wisconsin-Madison,United States,"University of Wisconsin-Madison, USA", USA
51,Washington University in St Louis,United States,"Washington University in St Louis, USA", USA
52,Brown University,United States,"Brown University, USA", USA
53,University of North Carolina at Chapel Hill,United States,"University of North Carolina at Chapel Hill, USA", USA
54,"University of California, Davis",United States,"University of California, Davis, USA", Davis
55,University of Manchester,United Kingdom,"University of Manchester, GBR", GBR
56,"University of California, Santa Barbara",United States,"University of California, Santa Barbara, USA", Santa Barbara
57,Chinese University of Hong Kong,Hong Kong,"Chinese University of Hong Kong, HKG", HKG
58,Wageningen University & Research,Netherlands,"Wageningen University & Research, NLD", NLD
59,University of Sydney,Australia,"University of Sydney, AUS", AUS
60,Boston University,United States,"Boston University, USA", USA
61,University of Amsterdam,Netherlands,"University of Amsterdam, NLD", NLD
62,University of Southern California,United States,"University of Southern California, USA", USA
63,Kyoto University,Japan,"Kyoto University, JPN", JPN
64,University of Queensland,Australia,"University of Queensland, AUS", AUS
65,Delft University of Technology,Netherlands,"Delft University of Technology, NLD", NLD
66,Leiden University,Netherlands,"Leiden University, NLD", NLD
67,Erasmus University Rotterdam,Netherlands,"Erasmus University Rotterdam, NLD", NLD
68,Ohio State University (Main campus),United States,"Ohio State University (Main campus), USA", USA
69,UNSW Sydney,Australia,"UNSW Sydney, AUS", AUS
70,McMaster University,Canada,"McMaster University, CAN", CAN
71,University of Groningen,Netherlands,"University of Groningen, NLD", NLD
72,Humboldt University of Berlin,Germany,"Humboldt University of Berlin, DEU", DEU
73,Monash University,Australia,"Monash University, AUS", AUS
74,Utrecht University,Netherlands,"Utrecht University, NLD", NLD
75,University of Warwick,United Kingdom,"University of Warwick, GBR", GBR
76,Penn State (Main campus),United States,"Penn State (Main campus), USA", USA
77,University of Minnesota,United States,"University of Minnesota, USA", USA
78,CharitïṡẄ - UniversitïṡẄtsmedizin Berlin,Germany,"CharitïṡẄ - UniversitïṡẄtsmedizin Berlin, DEU", DEU
79,Emory University,United States,"Emory University, USA", USA
80,University of Science and Technology of China,China,"University of Science and Technology of China, CHN", CHN
81,Sorbonne University,France,"Sorbonne University, FRA", FRA
82,Michigan State University,United States,"Michigan State University, USA", USA
83,University of Montreal,Canada,"University of Montreal, CAN", CAN
84,University of Freiburg,Germany,"University of Freiburg, DEU", DEU
85,University of Bristol,United Kingdom,"University of Bristol, GBR", GBR
86,Purdue University West Lafayette,United States,"Purdue University West Lafayette, USA", USA
87,University of Zurich,Switzerland,"University of Zurich, CHE", CHE
88,"University of Maryland, College Park",United States,"University of Maryland, College Park, USA", College Park
89,University of TïṡẄbingen,Germany,"University of TïṡẄbingen, DEU", DEU
90,ïṡẄcole Polytechnique,France,"ïṡẄcole Polytechnique, FRA", FRA
91,University of Basel,Switzerland,"University of Basel, CHE", CHE
92,Dartmouth College,United States,"Dartmouth College, USA", USA
93,"University of California, Irvine",United States,"University of California, Irvine, USA", Irvine
94,University of Helsinki,Finland,"University of Helsinki, FIN", FIN
95,Lund University,Sweden,"Lund University, SWE", SWE
96,University of Glasgow,United Kingdom,"University of Glasgow, GBR", GBR
97,RWTH Aachen University,Germany,"RWTH Aachen University, DEU", DEU
98,University of Copenhagen,Denmark,"University of Copenhagen, DNK", DNK
99,Uppsala University,Sweden,"Uppsala University, SWE", SWE
100,Georgetown University,United States,"Georgetown University, USA", USA
101,University of Arizona,United States,"University of Arizona, USA", USA
102,Rice University,United States,"Rice University, USA", USA
103,University of Bonn,Germany,"University of Bonn, DEU", DEU
104,University of Virginia (Main campus),United States,"University of Virginia (Main campus), USA", USA
105,Zhejiang University,China,"Zhejiang University, CHN", CHN
106,Fudan University,China,"Fudan University, CHN", CHN
107,Queen Mary University of London,United Kingdom,"Queen Mary University of London, GBR", GBR
108,University of Birmingham,United Kingdom,"University of Birmingham, GBR", GBR
109,University of Bern,Switzerland,"University of Bern, CHE", CHE
110,University of Pittsburgh-Pittsburgh campus,United States,"University of Pittsburgh-Pittsburgh campus, USA", USA
111,Aarhus University,Denmark,"Aarhus University, DNK", DNK
112,Vanderbilt University,United States,"Vanderbilt University, USA", USA
113,Free University of Berlin,Germany,"Free University of Berlin, DEU", DEU
114,University of Sheffield,United Kingdom,"University of Sheffield, GBR", GBR
115,Case Western Reserve University,United States,"Case Western Reserve University, USA", USA
116,University of Adelaide,Australia,"University of Adelaide, AUS", AUS
117,National Taiwan University,Taiwan,"National Taiwan University, TWN", TWN
118,University of Southampton,United Kingdom,"University of Southampton, GBR", GBR
119,Ghent University,Belgium,"Ghent University, BEL", BEL
120,University of Colorado Boulder,United States,"University of Colorado Boulder, USA", USA
121,University of GïṡẄttingen,Germany,"University of GïṡẄttingen, DEU", DEU
122,City University of Hong Kong,Hong Kong,"City University of Hong Kong, HKG", HKG
123,Maastricht University,Netherlands,"Maastricht University, NLD", NLD
124,Radboud University Nijmegen,Netherlands,"Radboud University Nijmegen, NLD", NLD
125,University of York,United Kingdom,"University of York, GBR", GBR
126,University of Paris,France,"University of Paris, FRA", FRA
127,University of Oslo,Norway,"University of Oslo, NOR", NOR
128,University of Western Australia,Australia,"University of Western Australia, AUS", AUS
129,Durham University,United Kingdom,"Durham University, GBR", GBR
130,Indiana University,United States,"Indiana University, USA", USA
131,University of Vienna,Austria,"University of Vienna, AUT", AUT
132,University of Alberta,Canada,"University of Alberta, CAN", CAN
133,University of Cape Town,South Africa,"University of Cape Town, ZAF", ZAF
134,Vrije Universiteit Amsterdam,Netherlands,"Vrije Universiteit Amsterdam, NLD", NLD
135,Tufts University,United States,"Tufts University, USA", USA
136,Lancaster University,United Kingdom,"Lancaster University, GBR", GBR
137,University of Ottawa,Canada,"University of Ottawa, CAN", CAN
138,Ulm University,Germany,"Ulm University, DEU", DEU
139,Pompeu Fabra University,Spain,"Pompeu Fabra University, ESP", ESP
140,University of Geneva,Switzerland,"University of Geneva, CHE", CHE
141,Nanjing University,China,"Nanjing University, CHN", CHN
142,University of Exeter,United Kingdom,"University of Exeter, GBR", GBR
143,University of Sussex,United Kingdom,"University of Sussex, GBR", GBR
144,University of Hamburg,Germany,"University of Hamburg, DEU", DEU
145,SantïṡẄAnna School of Advanced Studies ïṡẄ Pisa,Italy,"SantïṡẄAnna School of Advanced Studies ïṡẄ Pisa, ITA", ITA
146,Technical University of Berlin,Germany,"Technical University of Berlin, DEU", DEU
147,UniversitïṡẄ Catholique de Louvain,Belgium,"UniversitïṡẄ Catholique de Louvain, BEL", BEL
148,University of Nottingham,United Kingdom,"University of Nottingham, GBR", GBR
149,Scuola Normale Superiore di Pisa,Italy,"Scuola Normale Superiore di Pisa, ITA", ITA
150,Arizona State University (Tempe),United States,"Arizona State University (Tempe), USA", USA
151,University of Leeds,United Kingdom,"University of Leeds, GBR", GBR
152,Autonomous University of Barcelona,Spain,"Autonomous University of Barcelona, ESP", ESP
153,University of Cologne,Germany,"University of Cologne, DEU", DEU
154,University of Mannheim,Germany,"University of Mannheim, DEU", DEU
155,University of Notre Dame,United States,"University of Notre Dame, USA", USA
156,Shanghai Jiao Tong University,China,"Shanghai Jiao Tong University, CHN", CHN
157,TU Dresden,Germany,"TU Dresden, DEU", DEU
158,University of WïṡẄrzburg,Germany,"University of WïṡẄrzburg, DEU", DEU
159,Trinity College Dublin,Ireland,"Trinity College Dublin, IRL", IRL
160,University of Liverpool,United Kingdom,"University of Liverpool, GBR", GBR
161,Bielefeld University,Germany,"Bielefeld University, DEU", DEU
162,University of Leicester,United Kingdom,"University of Leicester, GBR", GBR
163,University of Aberdeen,United Kingdom,"University of Aberdeen, GBR", GBR
164,University of Bologna,Italy,"University of Bologna, ITA", ITA
165,"Rutgers, the State University of New Jersey",United States,"Rutgers, the State University of New Jersey, USA", the State University of New Jersey
166,Hong Kong Polytechnic University,Hong Kong,"Hong Kong Polytechnic University, HKG", HKG
167,University of Alabama at Birmingham,United States,"University of Alabama at Birmingham, USA", USA
168,Northeastern University,United States,"Northeastern University, USA", USA
169,University of Rochester,United States,"University of Rochester, USA", USA
170,University of Florida,United States,"University of Florida, USA", USA
171,Karlsruhe Institute of Technology,Germany,"Karlsruhe Institute of Technology, DEU", DEU
172,Stockholm University,Sweden,"Stockholm University, SWE", SWE
173,Texas A&M University,United States,"Texas A&M University, USA", USA
174,University of Auckland,New Zealand,"University of Auckland, NZL", NZL
175,"University of California, Santa Cruz",United States,"University of California, Santa Cruz, USA", Santa Cruz
176,Queensland University of Technology,Australia,"Queensland University of Technology, AUS", AUS
177,University of Erlangen-Nuremberg,Germany,"University of Erlangen-Nuremberg, DEU", DEU
178,Aalto University,Finland,"Aalto University, FIN", FIN
179,Technical University of Denmark,Denmark,"Technical University of Denmark, DNK", DNK
180,Eindhoven University of Technology,Netherlands,"Eindhoven University of Technology, NLD", NLD
181,University of Gothenburg,Sweden,"University of Gothenburg, SWE", SWE
182,TïṡẄlïṡẄcom Paris,France,"TïṡẄlïṡẄcom Paris, FRA", FRA
183,University of MïṡẄnster,Germany,"University of MïṡẄnster, DEU", DEU
184,Tel Aviv University,Israel,"Tel Aviv University, ISR", ISR
185,University of East Anglia,United Kingdom,"University of East Anglia, GBR", GBR
186,University of Canberra,Australia,"University of Canberra, AUS", AUS
187,University of Duisburg-Essen,Germany,"University of Duisburg-Essen, DEU", DEU
188,University of Technology Sydney,Australia,"University of Technology Sydney, AUS", AUS
189,University of the Witwatersrand,South Africa,"University of the Witwatersrand, ZAF", ZAF
190,Cardiff University,United Kingdom,"Cardiff University, GBR", GBR
191,University of Antwerp,Belgium,"University of Antwerp, BEL", BEL
192,George Washington University,United States,"George Washington University, USA", USA
193,University of Lausanne,Switzerland,"University of Lausanne, CHE", CHE
194,University of St Andrews,United Kingdom,"University of St Andrews, GBR", GBR
195,University of Luxembourg,Luxembourg,"University of Luxembourg, LUX", LUX
196,Newcastle University,United Kingdom,"Newcastle University, GBR", GBR
197,Macquarie University,Australia,"Macquarie University, AUS", AUS
198,QueenïṡẄs University Belfast,United Kingdom,"QueenïṡẄs University Belfast, GBR", GBR
199,Aalborg University,Denmark,"Aalborg University, DNK", DNK
200,Western University,Canada,"Western University, CAN", CAN
201,University of Massachusetts,United States,"University of Massachusetts, USA", USA
